"","meses_no_local_alocado","churn","idade","anos_formacao","atuacao_previa_no_municipio","anos_atuacao_previa_no_municipio","media_vinculos_mes","Prorrogado","m_agente_saude","m_tec_aux_enf","m_enfermeiro","m_dentista","regiao_destino","populacao","porte","pib_percapita","variacao_pib","tx_pop_ocupada_2019","orcamento_saude","esgotamento_sanitario","taxa_homicidio","ideb_anosfinais","investimento_infraestrutura","equipamentos_esportivos","equipamentos_culturais","distancia_capital"
"1016",68,"migrou",41,9.91649555099247,"Não",0,2.04411764705882,"NÃO",3.77586206896552,1.83922413793103,1.00215517241379,1.04008620689655,"Sul",55836,"MP",44316.94,111,34.0819542947202,977.08,29.1,5.666,NA,3495.466,13.364,13.364,579
"1017",11,"migrou",34,0.498288843258042,"Não",0,1,"NÃO",5.63636363636364,6.36363636363636,2,2.5,"Sul",1323,"PP-I",26686.66,91,17.384731670446,2245.29,0,0,NA,3685.97,65.189,65.189,533
"1018",47,"migrou",45,13.0841889117043,"Não",0,1,"NÃO",9.02439024390244,9.4,6.73658536585366,0.580487804878049,"Sul",6785,"PP-I",29985.92,120,12.3507737656595,1418.85,0,50.033,NA,2713.545,16.736,33.473,562
"1019",7,"migrou",41,6.91581108829569,"Não",0,1,"NÃO",2,2.28571428571429,1,1.71428571428571,"Sul",33855,"PP-II",39697.91,126,23.984640378083,771.9,67.19,8.856,NA,1785.837,11.849,14.812,82
"1020",68,"permanece",45,3.67145790554415,"Sim",0.666666666666667,1.60294117647059,"SIM",8,7.70661764705882,2.72610294117647,3.52132352941176,"Sul",118730,"GP",12365.41,83,8.42499789438221,394.23,88.54,35.387,NA,2917.731,0.9,4.502,22
"1021",50,"migrou",64,29.3333333333333,"Não",0,1,"SIM",7.64,6.983,2.424,NA,"Sul",118730,"GP",12365.41,83,8.42499789438221,394.23,88.54,35.387,NA,2917.731,0.9,4.502,22
"1022",68,"permanece",35,3.16769336071184,"Não",0,1,"SIM",8.08823529411765,6.05661764705882,2.11397058823529,1.05147058823529,"Sul",118730,"GP",12365.41,83,8.42499789438221,394.23,88.54,35.387,NA,2917.731,0.9,4.502,22
"1023",68,"migrou",47,14.3326488706366,"Não",0,1.07352941176471,"SIM",9.83823529411765,8.41176470588235,4.65220588235294,3.3,"Sul",118730,"GP",12365.41,83,8.42499789438221,394.23,88.54,35.387,NA,2917.731,0.9,4.502,22
"1024",35,"migrou",35,2.25051334702259,"Não",0,1,"NÃO",8.08571428571429,6.04285714285714,2.1,1,"Sul",118730,"GP",12365.41,83,8.42499789438221,394.23,88.54,35.387,NA,2917.731,0.9,4.502,22
"1025",36,"migrou",32,2.08350444900753,"Não",0,1,"NÃO",8,7.86111111111111,2.13888888888889,3.36805555555556,"Sul",118730,"GP",12365.41,83,8.42499789438221,394.23,88.54,35.387,NA,2917.731,0.9,4.502,22
