"","meses_no_local_alocado","churn","idade","atuacao_previa_no_municipio","anos_atuacao_previa_no_municipio","media_vinculos_mes","Prorrogado","m_agente_saude","m_tec_aux_enf","m_enfermeiro","m_dentista","regiao_destino","populacao","porte","pib_percapita","variacao_pib","pop_ocupada_2019","var_taxa_ocupacao","orcamento_saude","esgotamento_sanitario","taxa_homicidio","ideb_anosfinais","investimento_infraestrutura","equipamentos_esportivos","equipamentos_culturais","distancia_capital"
"452",46,"migrou",35,"Não",0,1,"SIM",10.4130434782609,3.3695652173913,3.30434782608696,2.72826086956522,"Centro-oeste",9573,"PP-I",15749.67,66,1026,-1.59863679097461,595.5,0,0,NA,2729.248,9.708,19.416,73
"453",40,"migrou",38,"Não",0,1.425,"SIM",3.7,1.325,1.05,1,"Centro-oeste",105031,"GP",13396.61,119,8091,-12.264169703139,486.29,94.39,47.821,4.1,557.537,2.243,0,259
"454",28,"migrou",39,"Não",0,1.75,"NÃO",9,3.69230769230769,2,1.03846153846154,"Centro-oeste",105031,"GP",13396.61,119,8091,-12.264169703139,486.29,94.39,47.821,4.1,557.537,2.243,0,259
"455",9,"migrou",31,"Não",0,1,"NÃO",11.7777777777778,5.72222222222222,4.88888888888889,1.88888888888889,"Centro-oeste",34914,"PP-II",15787.26,106,5492,20.89612810992,570.34,72.99,5.42,5.9,913.583,2.749,8.247,511
"456",43,"migrou",35,"Não",0,1,"SIM",9.81395348837209,3.27906976744186,3.08720930232558,1.94186046511628,"Centro-oeste",3649,"PP-I",17976.18,88,393,12.1680696556956,979.22,0,62.054,NA,3449.878,30.836,30.836,70
"457",23,"migrou",31,"Não",0,1,"NÃO",8,3.95652173913043,2.47826086956522,1,"Centro-oeste",3538,"PP-I",22194.42,111,338,2.36600628393391,1086.93,0,0,NA,3813.11,0,26.295,206
"458",9,"migrou",36,"Não",0,1,"NÃO",7.44444444444444,4.75,2.11111111111111,1.55555555555556,"Centro-oeste",6378,"PP-I",16541.75,72,837,6.23572100524123,542.05,0,15.964,NA,2999.356,15.974,0,126
"459",32,"migrou",31,"Não",0,1,"NÃO",10.625,3.49375,1.0140625,1.15,"Centro-oeste",21900,"PP-II",22983.14,89,3141,44.3510227568029,789.6,38.68,40.922,NA,1246.808,13.595,4.532,476
"460",22,"migrou",46,"Não",0,1.63636363636364,"NÃO",8.04545454545454,2.98863636363636,1.25,NA,"Centro-oeste",5742,"PP-I",17703.74,159,706,34.8350567089682,726.31,0,29.172,NA,1833.834,14.637,14.637,459
"461",36,"migrou",36,"Não",0,1,"NÃO",5,2.30555555555556,1.11111111111111,NA,"Centro-oeste",142431,"GP",17590.97,79,17644,-13.2981780034665,399.86,65.44,44.671,5.1,3038.629,3.99,3.192,26
"462",66,"migrou",44,"Não",0,1.11363636363636,"NÃO",7.4,2.15,1.125,NA,"Centro-oeste",142431,"GP",17590.97,79,17644,-13.2981780034665,399.86,65.44,44.671,5.1,3038.629,3.99,3.192,26
"463",72,"permanece",47,"Sim",8.83333333333333,3.74626865671642,"SIM",9.15151515151515,1.46969696969697,1.13636363636364,1.09090909090909,"Centro-oeste",42546,"PP-II",23170.78,91,7543,13.0379743517124,776.93,66.26,37.008,4.7,1808.373,9.946,4.973,307
"464",66,"permanece",75,"Sim",1.25,1,"NÃO",10.4285714285714,1,1,1,"Centro-oeste",42546,"PP-II",23170.78,91,7543,13.0379743517124,776.93,66.26,37.008,4.7,1808.373,9.946,4.973,307
"465",10,"migrou",36,"Não",0,1,"NÃO",6.2,1,1,1,"Centro-oeste",198861,"GP",16211.6,93,19663,-5.74862779807977,429.44,50.66,32.647,4.3,2461.414,0.607,2.428,184
"466",69,"migrou",37,"Não",0,1.04615384615385,"NÃO",9,1.05263157894737,1.47368421052632,1,"Centro-oeste",198861,"GP",16211.6,93,19663,-5.74862779807977,429.44,50.66,32.647,4.3,2461.414,0.607,2.428,184
"467",67,"migrou",36,"Não",0,1.62686567164179,"SIM",8.82089552238806,2.22388059701493,1.17910447761194,NA,"Centro-oeste",198861,"GP",16211.6,93,19663,-5.74862779807977,429.44,50.66,32.647,4.3,2461.414,0.607,2.428,184
"468",67,"permanece",34,"Não",0,1,"SIM",4.98507462686567,2.26492537313433,1.6865671641791,NA,"Centro-oeste",198861,"GP",16211.6,93,19663,-5.74862779807977,429.44,50.66,32.647,4.3,2461.414,0.607,2.428,184
"469",8,"migrou",42,"Não",0,1,"NÃO",6.375,1,1,NA,"Nordeste",24048,"PP-II",9693.81,146,1451,52.7002108608572,377.34,0,29.572,3.4,2278.956,14.904,3.726,215
"470",56,"migrou",36,"Não",0,1.07142857142857,"NÃO",7.48333333333333,1.66666666666667,1.56666666666667,NA,"Nordeste",25322,"PP-II",6541.79,101,882,40.4976439346386,573.67,0,3.731,3.5,5483.564,0,3.757,139
"471",7,"migrou",29,"Não",0,1,"NÃO",5.85714285714286,1.14285714285714,1.14285714285714,NA,"Nordeste",13793,"PP-I",7659.02,46,1155,28.6908232296858,646.45,0,19.069,3.3,1749.634,12.849,6.424,278
"472",67,"migrou",44,"Não",0,1.55223880597015,"SIM",21.9701492537313,4.11940298507463,5,NA,"Nordeste",103711,"GP",11953.28,97,9455,26.1651631412015,671.32,4.61,29.538,4.4,2835.831,4.779,3.823,248
"473",10,"migrou",30,"Não",0,1,"NÃO",24,4.4,3,3,"Nordeste",103711,"GP",11953.28,97,9455,26.1651631412015,671.32,4.61,29.538,4.4,2835.831,4.779,3.823,248
"474",40,"migrou",35,"Sim",0.833333333333333,1,"SIM",3.9,2.3575,1.38125,NA,"Nordeste",16966,"PP-I",14874.37,34,1522,-34.1738309170832,759.63,0,29.317,4.2,8810.471,17.799,0,62
"475",62,"migrou",48,"Não",0,1,"NÃO",13.0769230769231,2.69230769230769,2.25,1.07692307692308,"Nordeste",65589,"MP",7697.42,115,4483,42.430146983037,476.54,7.2,11.195,3.8,2064.298,11.322,4.852,257
"476",40,"migrou",39,"Não",0,1,"SIM",4,1.4,1,NA,"Nordeste",19584,"PP-I",5763.36,108,974,68.6330337690632,454.12,0,56.391,3.9,1877.117,0,4.704,74
"477",39,"migrou",36,"Não",0,1,"NÃO",8.41025641025641,1.23076923076923,1.07692307692308,1.07692307692308,"Nordeste",12212,"PP-I",5743.74,82,428,111.97296737234,330.28,0,6.137,3.9,11492.94,6.193,6.193,287
"478",4,"migrou",41,"Não",0,1,"NÃO",9,1,1,1,"Nordeste",34120,"PP-II",7001.42,73,1716,-0.0758211043669377,419.7,0,8.242,3.5,1165.936,0,0,321
"479",4,"migrou",30,"Não",0,1,"NÃO",11,2,1,2,"Nordeste",34120,"PP-II",7001.42,73,1716,-0.0758211043669377,419.7,0,8.242,3.5,1165.936,0,0,321
"480",10,"migrou",31,"Não",0,1,"NÃO",9,2.1,1,NA,"Nordeste",22455,"PP-II",7237.93,136,697,1.83118864280615,334.7,0,20.935,4.4,5022.97,4.197,12.591,479
"481",19,"migrou",30,"Não",0,1,"NÃO",7,1.89473684210526,1,NA,"Nordeste",22455,"PP-II",7237.93,136,697,1.83118864280615,334.7,0,20.935,4.4,5022.97,4.197,12.591,479
"482",14,"migrou",33,"Não",0,1,"NÃO",12.3076923076923,1.39423076923077,1.65384615384615,0.884615384615385,"Nordeste",16412,"PP-I",5637.4,102,725,57.6033148374872,425.4,0,20.641,3.9,2007.865,10.359,0,217
"483",67,"migrou",35,"Não",0,1.61194029850746,"SIM",9.04477611940299,1,1,1,"Nordeste",24062,"PP-II",14505.25,141,2898,15.8408188187474,566.48,0,20.558,4.2,1306.336,12.327,8.218,820
"484",67,"permanece",32,"Não",0,1.50746268656716,"SIM",8.19402985074627,1.23880597014925,1.16417910447761,1,"Nordeste",24062,"PP-II",14505.25,141,2898,15.8408188187474,566.48,0,20.558,4.2,1306.336,12.327,8.218,820
"485",35,"migrou",45,"Não",0,1,"NÃO",14.8285714285714,4.18571428571429,2.38571428571429,2.14285714285714,"Nordeste",156973,"GP",10983.6,66,17702,31.218499112243,635.95,5.5,29.719,3.9,3171.752,6.089,3.045,365
"486",49,"migrou",64,"Não",0,1,"NÃO",13.6122448979592,4.03061224489796,2.86734693877551,1,"Nordeste",156973,"GP",10983.6,66,17702,31.218499112243,635.95,5.5,29.719,3.9,3171.752,6.089,3.045,365
"487",72,"migrou",53,"Sim",10.1666666666667,1.16,"NÃO",21.7083333333333,5.54166666666667,2.32291666666667,1.54166666666667,"Nordeste",156973,"GP",10983.6,66,17702,31.218499112243,635.95,5.5,29.719,3.9,3171.752,6.089,3.045,365
"488",67,"migrou",42,"Não",0,1.28358208955224,"SIM",8.09803921568627,1.95098039215686,1.55882352941176,2.17647058823529,"Nordeste",156973,"GP",10983.6,66,17702,31.218499112243,635.95,5.5,29.719,3.9,3171.752,6.089,3.045,365
"489",48,"migrou",47,"Não",0,1,"SIM",13.6666666666667,4.09375,2.46875,1.70833333333333,"Nordeste",156973,"GP",10983.6,66,17702,31.218499112243,635.95,5.5,29.719,3.9,3171.752,6.089,3.045,365
"490",21,"migrou",35,"Não",0,1,"NÃO",11.7619047619048,2.95238095238095,1.95238095238095,2,"Nordeste",156973,"GP",10983.6,66,17702,31.218499112243,635.95,5.5,29.719,3.9,3171.752,6.089,3.045,365
"491",72,"permanece",36,"Sim",0.5,2.77611940298507,"SIM",11.7321428571429,4.07142857142857,1.08928571428571,1.01785714285714,"Nordeste",156973,"GP",10983.6,66,17702,31.218499112243,635.95,5.5,29.719,3.9,3171.752,6.089,3.045,365
"492",37,"migrou",38,"Não",0,1,"SIM",4.72972972972973,1.0472972972973,1.13513513513514,NA,"Nordeste",81386,"MP",9247.89,105,5434,3.97983909656914,496.29,0,22.592,3.7,2918.39,2.527,1.264,249
"493",57,"migrou",34,"Não",0,1,"NÃO",13.5535714285714,5.91428571428571,2.03571428571429,NA,"Nordeste",114275,"GP",8411.4,67,9290,23.087654462475,542.03,9.23,24.418,3.9,2457.497,2.447,4.078,300
"494",67,"migrou",33,"Não",0,1,"NÃO",9.11111111111111,3.44444444444444,1.77777777777778,NA,"Nordeste",114275,"GP",8411.4,67,9290,23.087654462475,542.03,9.23,24.418,3.9,2457.497,2.447,4.078,300
"495",35,"migrou",32,"Não",0,1.57142857142857,"NÃO",11.1818181818182,7.70909090909091,2.72727272727273,NA,"Nordeste",114275,"GP",8411.4,67,9290,23.087654462475,542.03,9.23,24.418,3.9,2457.497,2.447,4.078,300
"496",20,"migrou",31,"Não",0,1,"NÃO",17.5555555555556,4,2,NA,"Nordeste",114275,"GP",8411.4,67,9290,23.087654462475,542.03,9.23,24.418,3.9,2457.497,2.447,4.078,300
"497",45,"migrou",31,"Não",0,1.15555555555556,"SIM",15.8461538461538,5.05192307692308,2.81730769230769,1.27884615384615,"Nordeste",114275,"GP",8411.4,67,9290,23.087654462475,542.03,9.23,24.418,3.9,2457.497,2.447,4.078,300
"498",21,"migrou",31,"Não",0,1,"NÃO",12.6190476190476,3,2,NA,"Nordeste",114275,"GP",8411.4,67,9290,23.087654462475,542.03,9.23,24.418,3.9,2457.497,2.447,4.078,300
"499",36,"migrou",31,"Não",0,1,"NÃO",18.75,7.08611111111111,2.16666666666667,NA,"Nordeste",114275,"GP",8411.4,67,9290,23.087654462475,542.03,9.23,24.418,3.9,2457.497,2.447,4.078,300
"500",20,"migrou",36,"Não",0,1,"NÃO",15.9,3.975,2,1.85,"Nordeste",41658,"PP-II",7344.3,86,4050,32.7795901091687,674.31,0,20.229,3.4,1678.648,12.184,8.122,338
"501",6,"migrou",30,"Não",0,1,"NÃO",15.5,4,2,2,"Nordeste",41658,"PP-II",7344.3,86,4050,32.7795901091687,674.31,0,20.229,3.4,1678.648,12.184,8.122,338
"502",1,"migrou",30,"Não",0,1,"NÃO",10,2,1,1,"Nordeste",10223,"PP-I",6672.65,133,529,5.56395071889207,872.31,0,17.623,3.4,2672.46,26.558,8.853,333
"503",37,"migrou",31,"Não",0,1,"NÃO",10.6216216216216,1,1,NA,"Nordeste",16976,"PP-I",7131.57,79,550,-13.2703407731232,487.12,0,19.29,3.9,2256.82,6.437,6.437,427
"504",67,"permanece",41,"Sim",0.833333333333333,1,"SIM",6.05970149253731,1.13432835820896,1,NA,"Nordeste",10713,"PP-I",6577.96,123,306,14.263295488076,616.33,0,9.823,3.6,6092.713,0,48.967,296
"505",34,"migrou",31,"Não",0,1,"NÃO",17,3.41176470588235,2,2.20588235294118,"Nordeste",73872,"MP",10622.19,110,6691,2.96796270441803,489.08,0,31.642,3.7,1808.917,2.904,4.356,535
"506",67,"migrou",34,"Não",0,1,"SIM",10.9701492537313,2.86567164179104,1.14925373134328,1,"Nordeste",60440,"MP",8098.63,76,4648,-2.4820838824799,382.71,4.54,21.993,3.9,3194.12,5.911,5.911,118
"507",32,"migrou",32,"Não",0,1,"NÃO",5.3125,1,1,1,"Nordeste",10572,"PP-I",6597.11,98,443,48.274736833083,530.59,0,0,4.9,2511.872,17.802,8.901,513
"508",67,"permanece",70,"Não",0,1,"SIM",7.13432835820895,1.65671641791045,1,1.07462686567164,"Nordeste",22034,"PP-II",7072.64,122,1229,-6.10083367662563,562.36,40.59,12.837,3.7,1369.637,4.3,4.3,240
